complicity	partnership in wrongful act
component	elements or parts
composure	calmness of mind or manner
comprehensive	all inclusive
compromise	to agree; to settle by concession
compulsory	required
compunction	uneasiness, remorse
concave	curved inward
concede	to admit
concentrate	to think deeply; to increase in strength or degree
concentric	having a common center
conception	a beginning; original plan
concession	allowance; the act of yielding
conciliate	to soothe the anger of; to win over
concise	to the point; brief
conclave	secret meeting
conclusive	end result
concoct	to invent
concomitant	accompanying
concord	agreement
concourse	a crowd; a wide street
concur	to agree with
condescend	to talk down to someone
condign	deserved
condolence	expression of sorrow
condone	to excuse; to overlook; to forgive
conducive	leading to
conduit	pipe or tube
configuration	shape
confiscate	to seize
conflagration	a large fire
confluent	flowing together
conformity	doing the same as others
confounded	confused or amazed
congeal	to thicken
congenial	friendly
congenital	existing at birth
conglomerate	mass; large corporation
congregate	to assemble
congruent	in agreement
conjecture	to guess or speculate
conjugal	pertaining to marriage
conjure	to call upon or to command a devil or spirit to practice magic; cast a spell
connivance	conspiracy
connoisseur	an expert
connote	imply
connubial	relating to marriage
consanguinity	close relationship by blood
consecrate	to make holy
consensus	general agreement
console	to comfort
consonant	in agreement or harmony
consort	a husband or wife; to associate or join
conspicuous	obvious; easily seen
consternation	confusion or panic
constituents	supporters
constraints	limitations
constrict	to shrink
construe	to interpret
consummate	to complete or perfect
contagious	infectious
contemporary	current; modern
contemptuous	scornful; hateful; (to disdain)
contentious	argumentative; quarrelsome
contort	to distort
contrary	opposite to
contravene	to oppose
contrite	sorrowful; remorseful; apologetic
contumacious	disobedient; stubborn
contusion	a bruise
conundrum	a riddle or puzzle
convene	to assemble
conventional	ordinary; usual
converge	to come together
conversant	being familiar with
converse	to talk; the opposite
convex	curving outward
conveyance	a vehicle
convivial	friendly
convoluted	twisted
cope	to deal with
copious	abundant
coquetry	flirtation
cordial	friendly
cornucopia	abundance
corollary	a deduction; a result of
corona	bright circle
corporeal	body or physical
corpulent	fatness
corroborate	to confirm
corrugated	wrinkled; ridged
cortege	funeral procession
cosmopolitan	worldly
coterie	close group of friends
countenance	the face; to permit
countermand	to cancel
counterpart	duplicate
coup	a brilliant move
covenant	an agreement
covert	secretive
covet	to desire
cower	to tremble
coy	shy
cozen	to trick
crafty	tricky
crass	unrefined
craven	cowardly
credence	belief
credible	believable
credulous	gullible; trusting
creed	a religious belief
crescendo	gradual increase in intensity
crestfallen	dejected
cringe	to shrink back
criterion	standard for judging
crony	close friend
crotchety	grouchy
crucible	a severe test
crux	the essential part
cryptic	mysterious
crystallize	to take on a definite form
cubicle	small compartment
cudgel	club; thick stick
cull	to pick out
culminate	to result in
culpable	worthy of blame
cumbersome	heavy or hard to handle
cumulative	accumulated
cupidity	greed
curb	to control
cursive	running or flowing
cursory	superficial
cynic	one who is critical
dais	a platform
dally	to waste time
dank	cool and wet
dappled	spotted
dastardly	cowardly or shameful
daunt	to discourage
dawdle	to waste time
dearth	a lack of
debacle	a complete failure
debase	to disgrace
debauch	to corrupt
debilitate	to weaken
debonair	charming
decadence	moral decline
decant	to pour off (a liquid)
decapitate	to behead
deciduous	not permanent
declaim	to speak dramatically
decorum	appropriate social behavior
decrepit	broken down
decry	to denounce
deduce	to reason out
deem	to believe
defamatory	damaging another's reputation
default	to fail to pay or to perform
defection	desertion
deference	respect; to show respect
defer	to postpone
defile	to corrupt
definitive	comprehensive
deflect	to turn away
defoliate	to strip off leaves
defray	to pay the cost of
deft	skillful
defunct	extinct
deify	to idolize
deign	to lower oneself
delectable	very enjoyable
deleterious	harmful
deliberate	careful or on purpose
delineate	to describe
delirium	wild excitement
delude	to deceive; to mislead
deluge	a flood
delve	to investigate
demagogue	a leader who appeals to the emotions
demeanor	behavior
demean	to degrade
demented	insane
demise	death or the end
demography	study of population
demoralize	to discourage
demure	shy
denigrate	to ruin one's reputation
denizen	inhabitant
denouement	outcome; result
denounce	to speak out against; to condemn
depict	to portray
deplete	to use up
deplore	to regret
deploy	to arrange in position
depose	to remove from office
depraved	immoral
depreciate	to reduce in value
derelict	abandoned; a vagrant
deride	to ridicule
derogatory	belittling
desecrate	to damage
desiccate	to dry up
desist	to stop
desolate	deserted
despicable	contemptible
despoil	to plunder
despot	a dictator
destitute	poor
desultory	wandering or rambling
détente	a lessening of tension
deter	to prevent; to delay or stop
detriment	harm or damage
deviate	to digress or wander from
devious	underhand
devoid	without
dexterity	skill; cleverness
diabolical	cruel
diadem	crown
dialectic	logical discussion
diaphanous	transparent
diatribe	bitter criticism
dichotomy	division into two parts
diction	style of speaking correction
dictum	a formal statement
didactic	instructive
diffident	modest
diffuse	to scatter
digress	to wander off the subject
dilate	to become wider
dilatory	slow in doing things
dilettante	one who is not an expert
diligent	hard-working
diminutive	small
din	loud noise
dint	force or power
dire	dreadful
disarray	disorder
disavow	to deny
disburse	to pay
discern	to distinguish one from another
disclaimer	denial
discomfiture	confusion
disconcert	to upset
disconsolate	without hope
discordant	harsh-sounding
discord	disagreement
discount	reduction; to disregard
discourse	lecture
discreet	cautious
discrepancy	inconsistency
discrete	separate
discretion	good judgment
discrimination	prejudice; ability to distinguish
discursive	rambling
disdain	have contempt for; strong dislike
disgruntled	unhappy
dishearten	to discourage
disheveled	untidy
disinterested	impartial
dismantle	to take apart
disparage	to belittle; to speak ill of
disparity	inequality; difference
dispassionate	calm or impartial
dispatch	done quickly and efficiently
dispel	to drive away
disreputable	having a bad reputation
dissemble	to conceal
disseminate	to spread
dissent	disagreement
dissertation	a written essay
dissident	disagreeing
dissipate	to scatter
dissociate	to break ties with
dissolute	immoral; unrestrained
dissonant	out of harmony
dissuade	to advise or urge against
distend	to expand; to smell; to stretch out
distraught	troubled
dither	confused
diurnal	daily
divergent	different; off the point
diverse	different; varied
divest	to take away
docile	obedient
document	to prove or support
doddering	senile
doff	to throw off
doggerel	comic verse or in burlesque style
dogmatic	having a definite opinion
doldrums	low spirits
doleful	sorrowful
dole	to give out sparingly
dolorous	sad
domicile	home; residence
dorsal	pertaining to the back
dossier	a complete group of documents
dotage	feeblemindedness
doughty	courageous
dour	gloomy
douse	to extinguish
dowdy	shabby
doyen	senior member
dregs	leftovers
drivel	foolish talk
droll	amusing in an odd way
drone	an idle person; to talk on monotonously
dubious	doubtful
ductile	capable of being molded
dupe	to deceive
duplicity	deceit; dishonesty
duress	force
dutiful	obedient
dynamo	a powerful person
dysphasia	difficulty in speaking
earnest	sincere or serious
earthy	realistic; coarse
ebb	to slowly decrease
ebullient	enthusiastic
eccentric	unusual; odd; weird
ecclesiastical	pertaining to the church
echelon	level of power
eclectic	choosing from various sources
eclipse	to outshine
edifice	structure; building
edify	to improve someone morally; to instruct
eerie	mysterious
efface	to wipe out
effectual	effective, adequate
effeminate	unmanly, womanly; soft and weak
effervescent	bubbly; spirited
effete	worn-out; barren
effigy	a likeness
effluent	flowing out
effrontery	shameful boldness
effusion	an uncontrolled display of emotion
egalitarian	belief in the equality of all men
egregious	very bad; outrageous
egress	exit
elaborate	to give details; complex
elapse	to pass
electrify	to thrill
elegy	a sad poem or speech
elicit	to cause to be revealed
elixir	remedy
ellipsis	the omission in a sentence of a word or words
eloquent	articulate; speaking well
elucidate	to make clear
elude	to avoid
elusive	difficult to grasp
elysian	blissful
emaciated	abnormally thin
emanate	to come forth; to send forth
emancipate	to set free
embellish	to decorate; to add details; to exaggerate
embezzle	to steal
embroil	to involve in trouble
embryo	in an early stage
emetic	causing vomiting
eminent	famous
emissary	one sent on a special mission
emit	to send out
emollient	something that soothes or softens
empathy	understanding another's feelings
empirical	based on experience rather than theory
emulate	to imitate
enamored	in love with
enclave	a country, or part of a country, surrounded by another country
encompass	to include
encore	a repeat performance
encroach	to intrude
encumbrance	hindrance or obstruction
endemic	confined to a particular area
endorse	to support
enduring	forever; lasting
enervate	to weaken
enfranchise	to give the right to vote
engender	to produce; to create
engross	completely absorbed in
engulf	to overwhelm
enhance	to increase in value or beauty; to improve
enigmatic	mysterious
enlighten	to inform
ennui	boredom
enormity	an outrageous and immoral act
enrapture	to delight beyond measure
ensconce	to hide, to conceal
ensue	to follow
enthrall	to charm
entice	to attract
entity	independent being
entourage	a group of followers
entreaty	a request; a plea
entrenched	firmly established
entrepreneur	a businessman; promoter
enunciate	to pronounce clearly
environs	surroundings
envisage	to imagine
envoy	messenger
eon	extremely long period of time
ephemeral	temporary; short-lived
epic	a long poem
epicure	one who seeks pleasure in fine foods
epigram	witty saying
epilogue	closing part of a speech or literary work
epiphany	appearance of a deity (god); revelation
epistle	a letter
epitaph	inscription on a tomb
epithet	a descriptive word or phrase
epitome	a typical example or a summary
epoch	particular period of history
equanimity	calmness, evenness of temperament
equestrian	a horseback rider
equilibrium	balanced
equine	pertaining to horses
equinox	the time when day and night are of equal length
equivocal	doubtful
eradicate	to wipe out
erode	to wear away
erotic	pertaining to sexual love
erratic	irregular; without direction
erroneous	mistaken
err	to make a mistake
ersatz	inferior substitute
erstwhile	in the past
erudite	scholarly
escalate	to grow rapidly
escapade	a reckless adventure
escarpment	steep cliff
eschew	to avoid
esoteric	known only to a few
espouse	to support
essay	to try
esteem	high regard
estival	pertaining to summer
estranged	separated
ethereal	spiritual
ethnic	pertaining to a particular race
etymology	the origin and development of words
eugenics	science of improving the human race
euphemism	substitution of one expression for another
euphonious	having a pleasant sound
euphoria	a feeling of well-being
euthanasia	mercy killing
evanescent	temporary, fleeting
eventuate	to happen
evince	to show clearly
evoke	to produce
exacerbate	to aggravate
exact	accurate; to require
exasperate	to irritate or to annoy
excise	to cut out or off
excruciating	unbearably painful
exculpate	to free from blame
execrate	to curse
exemplary	worthy of imitation; outstanding
exemplify	to make an example of
exhaustive	thorough; complete
exhilaration	liveliness
exhort	to warn or urge
exhume	to bring out of the ground
exigent	urgent
exodus	a going out
exonerate	to free from guilt or blame
exorcise	to drive out an evil spirit
exotic	foreign; strange
expatiate	to enlarge upon
expatriate	a person who leaves his native country
expedient	practical
expedite	to make easy, to make faster
expiate	to atone for
explicate	make clear
expound	to explain
expunge	to erase
expurgate	to remove
extant	still in existence or stand above
extemporaneous	done without preparation
extenuating	less serious
extirpate	to destroy
extol	to praise
extort	to obtain by force
extraneous	not essential
extrapolate	to estimate; to infer
extricate	to set free; to disentangle
extrinsic	external; coming from outside
extrovert	an outgoing person
exuberant	full of enthusiasm
exude	to spread out or to give off
exult	to rejoice
fabricate	to construct or to lie
facade	outward appearance
facet	aspect
facetious	sarcastic
facile	easy
facilitate	to make easy
facsimile	a duplicate
faction	a minority within a larger group
factious	causing disagreement
factitious	artificial
faculty	ability or skill
fallacious	misleading; false; untrue
fallible	capable of error
fallow	inactive
falter	to stumble
fanatic	a person with uncontrolled devotion
fanciful	imaginative
farcical	absurd; ridiculous
fastidious	hard to please
fatalistic	believing that all things in life are inevitable
fathom	nautical measure; to understand
fatuous	foolish
fauna	animals of a certain area
fawn	excessively flattering manner
faze	to disturb
fealty	loyalty; devotion
feasible	capable of being achieved
feat	accomplishment
fecundity	fertile; productive
feign	to pretend
feint	a false show or a pretended act
felicity	happiness
feline	pertaining to cats
fell	to knock down; cruel
felonious	harmful
ferment	a state of agitation
ferret	to search or drive out
fervent	eager; passionate
fervid	very emotional; enthusiastic
fester	to rot
festive	joyous
fete	to entertain
fetid	foul-smelling
fetish	object that receives respect
fetter	to confine
fiasco	a total disaster
fiat	an official order
fickle	changeable or unfaithful
fictitious	false
fidelity	faithfulness
figment	something imagined
filch	to steal
filial	like a son or daughter
finesse	tact
finite	limited
firebrand	one who stirs up trouble
firmament	strength or pertaining to the heavens
fiscal	pertaining to finances
fissure	opening or split
fitful	irregular
flabbergasted	astonished
flaccid	flabby
flag	a banner; to slow down
flagellate	to whip
flagrant	shocking; bad
flail	to strike wildly
flair	a knack; a natural talent
flamboyant	showy; conspicuous
flaunt	to show off
flay	to strip off; to criticize sharply
fledgling	a young, inexperienced person
fleece	to swindle
flinch	to cringe
flippant	treating serious matters lightly
flora	plant life in a certain ares
florid	flowery; ornate
flotilla	fleet of ships
flotsam	floating wreckage
flourish	a dramatic
flout	to ridicule
fluctuate	to vary
fluent	able to speak and/or write clearly
fluster	to confuse
fluvial	pertaining to a river
flux	state of continual change
foible	minor fault
